method,success,s,type,seed
HTP,1,13,gaussian,3727
HTP',1,13,gaussian,3727
IHT,1,2,linear,575
HTP,1,2,linear,575
HTP',1,2,linear,575
IHT,1,9,linear,2616
HTP,1,9,linear,2616
HTP',1,9,linear,2616
IHT,1,3,gaussian,757
HTP,1,3,gaussian,757
HTP',1,3,gaussian,757
IHT,1,1,linear,227
HTP,1,1,linear,227
HTP',1,1,linear,227
IHT,1,10,linear,2985
HTP,1,10,linear,2985
HTP',1,10,linear,2985
IHT,1,10,gaussian,2800
HTP,1,10,gaussian,2800
HTP',1,10,gaussian,2800
IHT,1,1,linear,228
HTP,1,1,linear,228
HTP',1,1,linear,228
IHT,1,1,flat,36
HTP,1,1,flat,36
HTP',1,1,flat,36
IHT,1,6,gaussian,1684
HTP,1,6,gaussian,1684
HTP',1,6,gaussian,1684
IHT,1,2,linear,576
HTP,1,2,linear,576
HTP',1,2,linear,576
IHT,1,4,linear,1127
HTP,1,4,linear,1127
HTP',1,4,linear,1127
IHT,1,5,gaussian,1314
HTP,1,5,gaussian,1314
HTP',1,5,gaussian,1314
IHT,1,2,flat,390
HTP,1,2,flat,390
HTP',1,2,flat,390
IHT,1,9,flat,2431
HTP,1,9,flat,2431
HTP',1,9,flat,2431
IHT,1,2,linear,577
HTP,1,2,linear,577
HTP',1,2,linear,577
IHT,1,1,linear,229
HTP,1,1,linear,229
HTP',1,1,linear,229
IHT,1,1,flat,37
HTP,1,1,flat,37
HTP',1,1,flat,37
IHT,1,7,linear,2057
HTP,1,7,linear,2057
HTP',1,7,linear,2057
IHT,1,12,flat,3361
HTP,1,12,flat,3361
HTP',1,12,flat,3361
IHT,1,4,flat,941
HTP,1,4,flat,941
HTP',1,4,flat,941
IHT,0,17,linear,5023
HTP,1,17,linear,5023
HTP',1,17,linear,5023
IHT,1,1,flat,38
HTP,1,1,flat,38
HTP',1,1,flat,38
IHT,1,1,linear,230
HTP,1,1,linear,230
HTP',1,1,linear,230
IHT,1,2,flat,391
HTP,1,2,flat,391
HTP',1,2,flat,391
IHT,1,6,flat,1500
HTP,1,6,flat,1500
HTP',1,6,flat,1500
IHT,1,1,flat,39
HTP,1,1,flat,39
HTP',1,1,flat,39
IHT,1,3,gaussian,758
HTP,1,3,gaussian,758
HTP',1,3,gaussian,758
IHT,1,1,linear,231
HTP,1,1,linear,231
HTP',1,1,linear,231
IHT,1,7,flat,1872
HTP,1,7,flat,1872
HTP',1,7,flat,1872
IHT,1,1,flat,40
HTP,1,1,flat,40
HTP',1,1,flat,40
IHT,1,8,gaussian,2243
HTP,1,8,gaussian,2243
HTP',1,8,gaussian,2243
IHT,1,1,flat,41
HTP,1,1,flat,41
HTP',1,1,flat,41
IHT,1,1,linear,232
HTP,1,1,linear,232
HTP',1,1,linear,232
IHT,0,13,gaussian,3728
HTP,1,13,gaussian,3728
HTP',1,13,gaussian,3728
IHT,1,6,gaussian,1685
HTP,1,6,gaussian,1685
HTP',1,6,gaussian,1685
IHT,1,1,linear,233
HTP,1,1,linear,233
HTP',1,1,linear,233
IHT,1,9,linear,2617
HTP,1,9,linear,2617
HTP',1,9,linear,2617
IHT,1,4,linear,1128
HTP,1,4,linear,1128
HTP',1,4,linear,1128
IHT,1,2,linear,578
HTP,1,2,linear,578
HTP',1,2,linear,578
IHT,0,12,linear,3548
HTP,1,12,linear,3548
HTP',1,12,linear,3548
IHT,1,1,flat,42
HTP,1,1,flat,42
HTP',1,1,flat,42
IHT,1,10,linear,2986
HTP,1,10,linear,2986
HTP',1,10,linear,2986
IHT,1,5,gaussian,1315
HTP,1,5,gaussian,1315
HTP',1,5,gaussian,1315
IHT,0,11,gaussian,3172
HTP,1,11,gaussian,3172
HTP',1,11,gaussian,3172
IHT,0,15,flat,4287
HTP,1,15,flat,4287
HTP',1,15,flat,4287
IHT,1,10,gaussian,2801
HTP,1,10,gaussian,2801
HTP',1,10,gaussian,2801
IHT,1,1,linear,234
HTP,1,1,linear,234
HTP',1,1,linear,234
IHT,1,4,flat,942
HTP,1,4,flat,942
HTP',1,4,flat,942
IHT,1,9,flat,2432
HTP,1,9,flat,2432
HTP',1,9,flat,2432
IHT,1,7,linear,2058
HTP,1,7,linear,2058
HTP',1,7,linear,2058
IHT,1,2,linear,579
HTP,1,2,linear,579
HTP',1,2,linear,579
IHT,1,6,flat,1501
HTP,1,6,flat,1501
HTP',1,6,flat,1501
IHT,1,1,flat,43
HTP,1,1,flat,43
HTP',1,1,flat,43
IHT,1,2,flat,392
HTP,1,2,flat,392
HTP',1,2,flat,392
IHT,1,1,linear,235
HTP,1,1,linear,235
HTP',1,1,linear,235
IHT,1,12,flat,3362
HTP,1,12,flat,3362
HTP',1,12,flat,3362
IHT,1,3,gaussian,759
HTP,1,3,gaussian,759
HTP',1,3,gaussian,759
IHT,1,7,flat,1873
HTP,1,7,flat,1873
HTP',1,7,flat,1873
IHT,1,1,linear,236
HTP,1,1,linear,236
HTP',1,1,linear,236
IHT,1,12,linear,3549
HTP,1,12,linear,3549
HTP',1,12,linear,3549
IHT,1,9,flat,2433
HTP,1,9,flat,2433
HTP',1,9,flat,2433
IHT,1,8,gaussian,2244
HTP,1,8,gaussian,2244
HTP',1,8,gaussian,2244
IHT,1,1,linear,237
HTP,1,1,linear,237
HTP',1,1,linear,237
IHT,1,9,linear,2618
HTP,1,9,linear,2618
HTP',1,9,linear,2618
IHT,1,4,flat,943
HTP,1,4,flat,943
HTP',1,4,flat,943
IHT,1,2,linear,580
HTP,1,2,linear,580
HTP',1,2,linear,580
IHT,1,4,linear,1129
HTP,1,4,linear,1129
HTP',1,4,linear,1129
IHT,1,6,gaussian,1686
HTP,1,6,gaussian,1686
HTP',1,6,gaussian,1686
IHT,1,9,flat,2434
HTP,1,9,flat,2434
HTP',1,9,flat,2434
IHT,1,11,gaussian,3173
HTP,1,11,gaussian,3173
HTP',1,11,gaussian,3173
IHT,1,10,linear,2987
HTP,1,10,linear,2987
HTP',1,10,linear,2987
IHT,1,5,gaussian,1316
HTP,1,5,gaussian,1316
HTP',1,5,gaussian,1316
IHT,1,6,flat,1502
HTP,1,6,flat,1502
HTP',1,6,flat,1502
IHT,1,13,gaussian,3729
HTP,1,13,gaussian,3729
HTP',1,13,gaussian,3729
IHT,1,2,linear,581
HTP,1,2,linear,581
HTP',1,2,linear,581
IHT,1,1,flat,44
HTP,1,1,flat,44
HTP',1,1,flat,44
IHT,1,1,linear,238
HTP,1,1,linear,238
HTP',1,1,linear,238
IHT,1,7,linear,2059
HTP,1,7,linear,2059
HTP',1,7,linear,2059
IHT,1,10,gaussian,2802
HTP,1,10,gaussian,2802
HTP',1,10,gaussian,2802
IHT,1,2,flat,393
HTP,1,2,flat,393
HTP',1,2,flat,393
IHT,1,1,linear,239
HTP,1,1,linear,239
HTP',1,1,linear,239
IHT,1,1,flat,45
HTP,1,1,flat,45
HTP',1,1,flat,45
IHT,1,15,flat,4288
HTP,1,15,flat,4288
HTP',1,15,flat,4288
IHT,1,9,flat,2435
HTP,1,9,flat,2435
HTP',1,9,flat,2435
IHT,1,7,flat,1874
HTP,1,7,flat,1874
HTP',1,7,flat,1874
IHT,1,3,gaussian,760
HTP,1,3,gaussian,760
HTP',1,3,gaussian,760
IHT,1,1,linear,240
HTP,1,1,linear,240
HTP',1,1,linear,240
IHT,0,11,gaussian,3174
HTP,1,11,gaussian,3174
HTP',1,11,gaussian,3174
IHT,1,2,flat,394
HTP,1,2,flat,394
HTP',1,2,flat,394
IHT,1,12,flat,3363
HTP,1,12,flat,3363
HTP',1,12,flat,3363
IHT,1,4,flat,944
HTP,1,4,flat,944
HTP',1,4,flat,944
IHT,1,8,gaussian,2245
HTP,1,8,gaussian,2245
HTP',1,8,gaussian,2245
IHT,1,9,linear,2619
HTP,1,9,linear,2619
HTP',1,9,linear,2619
IHT,1,10,linear,2988
HTP,1,10,linear,2988
HTP',1,10,linear,2988
IHT,1,4,linear,1130
HTP,1,4,linear,1130
HTP',1,4,linear,1130
IHT,1,6,flat,1503
HTP,1,6,flat,1503
HTP',1,6,flat,1503
IHT,1,6,gaussian,1687
HTP,1,6,gaussian,1687
HTP',1,6,gaussian,1687
IHT,1,12,linear,3550
HTP,1,12,linear,3550
HTP',1,12,linear,3550
IHT,1,15,flat,4289
HTP,1,15,flat,4289
HTP',1,15,flat,4289
IHT,1,5,gaussian,1317
HTP,1,5,gaussian,1317
HTP',1,5,gaussian,1317
IHT,1,12,flat,3364
HTP,1,12,flat,3364
HTP',1,12,flat,3364
IHT,1,2,linear,582
HTP,1,2,linear,582
HTP',1,2,linear,582
IHT,0,13,gaussian,3730
HTP,1,13,gaussian,3730
HTP',1,13,gaussian,3730
IHT,1,1,flat,46
HTP,1,1,flat,46
HTP',1,1,flat,46
IHT,1,9,flat,2436
HTP,1,9,flat,2436
HTP',1,9,flat,2436
IHT,1,3,gaussian,761
HTP,1,3,gaussian,761
HTP',1,3,gaussian,761
IHT,1,7,linear,2060
HTP,1,7,linear,2060
HTP',1,7,linear,2060
IHT,1,1,flat,47
HTP,1,1,flat,47
HTP',1,1,flat,47
IHT,1,10,gaussian,2803
HTP,1,10,gaussian,2803
HTP',1,10,gaussian,2803
IHT,1,7,flat,1875
HTP,1,7,flat,1875
HTP',1,7,flat,1875
IHT,1,1,flat,48
HTP,1,1,flat,48
HTP',1,1,flat,48
IHT,1,1,linear,241
HTP,1,1,linear,241
HTP',1,1,linear,241
IHT,1,2,flat,395
HTP,1,2,flat,395
HTP',1,2,flat,395
IHT,1,4,linear,1131
HTP,1,4,linear,1131
HTP',1,4,linear,1131
IHT,1,1,linear,242
HTP,1,1,linear,242
HTP',1,1,linear,242
IHT,1,4,flat,945
HTP,1,4,flat,945
HTP',1,4,flat,945
IHT,1,7,flat,1876
HTP,1,7,flat,1876
HTP',1,7,flat,1876
IHT,1,9,linear,2620
HTP,1,9,linear,2620
HTP',1,9,linear,2620
IHT,1,1,linear,243
HTP,1,1,linear,243
HTP',1,1,linear,243
IHT,1,6,flat,1504
HTP,1,6,flat,1504
HTP',1,6,flat,1504
IHT,1,6,gaussian,1688
HTP,1,6,gaussian,1688
HTP',1,6,gaussian,1688
IHT,1,2,flat,396
HTP,1,2,flat,396
HTP',1,2,flat,396
IHT,1,11,gaussian,3175
HTP,1,11,gaussian,3175
HTP',1,11,gaussian,3175
IHT,1,8,gaussian,2246
HTP,1,8,gaussian,2246
HTP',1,8,gaussian,2246
IHT,1,5,gaussian,1318
HTP,1,5,gaussian,1318
HTP',1,5,gaussian,1318
IHT,1,2,linear,583
HTP,1,2,linear,583
HTP',1,2,linear,583
IHT,1,6,flat,1505
HTP,1,6,flat,1505
HTP',1,6,flat,1505
IHT,1,15,flat,4290
HTP,1,15,flat,4290
HTP',1,15,flat,4290
IHT,1,1,linear,244
HTP,1,1,linear,244
HTP',1,1,linear,244
IHT,1,12,linear,3551
HTP,1,12,linear,3551
HTP',1,12,linear,3551
IHT,1,2,flat,397
HTP,1,2,flat,397
HTP',1,2,flat,397
IHT,1,9,flat,2437
HTP,1,9,flat,2437
HTP',1,9,flat,2437
IHT,1,4,linear,1132
HTP,1,4,linear,1132
HTP',1,4,linear,1132
IHT,1,7,flat,1877
HTP,1,7,flat,1877
HTP',1,7,flat,1877
IHT,0,13,gaussian,3731
HTP,1,13,gaussian,3731
HTP',1,13,gaussian,3731
IHT,1,12,flat,3365
HTP,1,12,flat,3365
HTP',1,12,flat,3365
IHT,1,9,linear,2621
HTP,1,9,linear,2621
HTP',1,9,linear,2621
IHT,1,10,linear,2989
HTP,1,10,linear,2989
HTP',1,10,linear,2989
IHT,1,1,linear,245
HTP,1,1,linear,245
HTP',1,1,linear,245
IHT,1,7,linear,2061
HTP,1,7,linear,2061
HTP',1,7,linear,2061
IHT,1,10,gaussian,2804
HTP,1,10,gaussian,2804
HTP',1,10,gaussian,2804
IHT,1,3,gaussian,762
HTP,1,3,gaussian,762
HTP',1,3,gaussian,762
IHT,1,1,linear,246
HTP,1,1,linear,246
HTP',1,1,linear,246
IHT,1,1,flat,49
HTP,1,1,flat,49
HTP',1,1,flat,49
IHT,1,2,flat,398
HTP,1,2,flat,398
HTP',1,2,flat,398
IHT,1,8,gaussian,2247
HTP,1,8,gaussian,2247
HTP',1,8,gaussian,2247
IHT,1,1,linear,247
HTP,1,1,linear,247
HTP',1,1,linear,247
IHT,1,4,flat,946
HTP,1,4,flat,946
HTP',1,4,flat,946
IHT,1,1,flat,50
HTP,1,1,flat,50
HTP',1,1,flat,50
IHT,1,6,flat,1506
HTP,1,6,flat,1506
HTP',1,6,flat,1506
IHT,1,2,flat,399
HTP,1,2,flat,399
HTP',1,2,flat,399
IHT,1,7,linear,2062
HTP,1,7,linear,2062
HTP',1,7,linear,2062
IHT,1,2,linear,584
HTP,1,2,linear,584
HTP',1,2,linear,584
IHT,1,5,gaussian,1319
HTP,1,5,gaussian,1319
HTP',1,5,gaussian,1319
IHT,1,1,linear,248
HTP,1,1,linear,248
HTP',1,1,linear,248
IHT,1,11,gaussian,3176
HTP,1,11,gaussian,3176
HTP',1,11,gaussian,3176
IHT,1,9,flat,2438
HTP,1,9,flat,2438
HTP',1,9,flat,2438
IHT,1,1,flat,51
HTP,1,1,flat,51
HTP',1,1,flat,51
IHT,1,6,gaussian,1689
HTP,1,6,gaussian,1689
HTP',1,6,gaussian,1689
IHT,1,10,linear,2990
HTP,1,10,linear,2990
HTP',1,10,linear,2990
IHT,1,12,linear,3552
HTP,1,12,linear,3552
HTP',1,12,linear,3552
IHT,1,7,flat,1878
HTP,1,7,flat,1878
HTP',1,7,flat,1878
IHT,1,4,linear,1133
HTP,1,4,linear,1133
HTP',1,4,linear,1133
IHT,1,1,flat,52
HTP,1,1,flat,52
HTP',1,1,flat,52
IHT,1,5,gaussian,1320
HTP,1,5,gaussian,1320
HTP',1,5,gaussian,1320
IHT,1,15,flat,4291
HTP,1,15,flat,4291
HTP',1,15,flat,4291
IHT,1,2,linear,585
HTP,1,2,linear,585
HTP',1,2,linear,585
IHT,1,8,gaussian,2248
HTP,1,8,gaussian,2248
HTP',1,8,gaussian,2248
IHT,1,10,gaussian,2805
HTP,1,10,gaussian,2805
HTP',1,10,gaussian,2805
IHT,1,9,linear,2622
HTP,1,9,linear,2622
HTP',1,9,linear,2622
IHT,1,12,flat,3366
HTP,1,12,flat,3366
HTP',1,12,flat,3366
IHT,1,1,flat,53
HTP,1,1,flat,53
HTP',1,1,flat,53
IHT,1,3,gaussian,763
HTP,1,3,gaussian,763
HTP',1,3,gaussian,763
IHT,1,2,linear,586
HTP,1,2,linear,586
HTP',1,2,linear,586
IHT,1,11,gaussian,3177
HTP,1,11,gaussian,3177
HTP',1,11,gaussian,3177
IHT,1,6,flat,1507
HTP,1,6,flat,1507
HTP',1,6,flat,1507
IHT,1,4,flat,947
HTP,1,4,flat,947
HTP',1,4,flat,947
IHT,1,12,linear,3553
HTP,1,12,linear,3553
HTP',1,12,linear,3553
IHT,1,3,gaussian,764
HTP,1,3,gaussian,764
HTP',1,3,gaussian,764
IHT,1,2,gaussian,400
HTP,1,2,gaussian,400
HTP',1,2,gaussian,400
IHT,1,1,linear,249
HTP,1,1,linear,249
HTP',1,1,linear,249
IHT,1,1,flat,54
HTP,1,1,flat,54
HTP',1,1,flat,54
IHT,1,7,flat,1879
HTP,1,7,flat,1879
HTP',1,7,flat,1879
IHT,1,9,flat,2439
HTP,1,9,flat,2439
HTP',1,9,flat,2439
IHT,1,7,linear,2063
HTP,1,7,linear,2063
HTP',1,7,linear,2063
IHT,1,2,linear,587
HTP,1,2,linear,587
HTP',1,2,linear,587
IHT,1,1,linear,250
HTP,1,1,linear,250
HTP',1,1,linear,250
IHT,1,9,linear,2623
HTP,1,9,linear,2623
HTP',1,9,linear,2623
IHT,1,5,gaussian,1321
HTP,1,5,gaussian,1321
HTP',1,5,gaussian,1321
IHT,1,12,linear,3554
HTP,1,12,linear,3554
HTP',1,12,linear,3554
IHT,1,1,flat,55
HTP,1,1,flat,55
HTP',1,1,flat,55
IHT,1,1,linear,251
HTP,1,1,linear,251
HTP',1,1,linear,251
IHT,1,4,linear,1134
HTP,1,4,linear,1134
HTP',1,4,linear,1134
IHT,1,6,gaussian,1690
HTP,1,6,gaussian,1690
HTP',1,6,gaussian,1690
IHT,1,1,flat,56
HTP,1,1,flat,56
HTP',1,1,flat,56
IHT,1,1,linear,252
HTP,1,1,linear,252
HTP',1,1,linear,252
IHT,1,10,linear,2991
HTP,1,10,linear,2991
HTP',1,10,linear,2991
IHT,1,8,gaussian,2249
HTP,1,8,gaussian,2249
HTP',1,8,gaussian,2249
IHT,1,6,gaussian,1691
HTP,1,6,gaussian,1691
HTP',1,6,gaussian,1691
IHT,1,1,flat,57
HTP,1,1,flat,57
HTP',1,1,flat,57
IHT,1,15,flat,4292
HTP,1,15,flat,4292
HTP',1,15,flat,4292
IHT,1,9,linear,2624
HTP,1,9,linear,2624
HTP',1,9,linear,2624
IHT,1,1,linear,253
HTP,1,1,linear,253
HTP',1,1,linear,253
IHT,1,10,gaussian,2806
HTP,1,10,gaussian,2806
HTP',1,10,gaussian,2806
IHT,1,12,linear,3555
HTP,1,12,linear,3555
HTP',1,12,linear,3555
IHT,1,6,flat,1508
HTP,1,6,flat,1508
HTP',1,6,flat,1508
IHT,1,4,flat,948
HTP,1,4,flat,948
HTP',1,4,flat,948
IHT,1,2,gaussian,401
HTP,1,2,gaussian,401
HTP',1,2,gaussian,401
IHT,1,3,gaussian,765
HTP,1,3,gaussian,765
HTP',1,3,gaussian,765
IHT,1,2,linear,588
HTP,1,2,linear,588
HTP',1,2,linear,588
IHT,1,1,flat,58
HTP,1,1,flat,58
HTP',1,1,flat,58
IHT,1,7,linear,2064
HTP,1,7,linear,2064
HTP',1,7,linear,2064
IHT,1,1,linear,254
HTP,1,1,linear,254
HTP',1,1,linear,254
IHT,1,7,flat,1880
HTP,1,7,flat,1880
HTP',1,7,flat,1880
IHT,1,9,flat,2440
HTP,1,9,flat,2440
HTP',1,9,flat,2440
IHT,1,1,flat,59
HTP,1,1,flat,59
HTP',1,1,flat,59
IHT,1,4,linear,1135
HTP,1,4,linear,1135
HTP',1,4,linear,1135
IHT,1,1,linear,255
HTP,1,1,linear,255
HTP',1,1,linear,255
IHT,1,12,flat,3367
HTP,1,12,flat,3367
HTP',1,12,flat,3367
IHT,1,1,flat,60
HTP,1,1,flat,60
HTP',1,1,flat,60
IHT,1,2,gaussian,402
HTP,1,2,gaussian,402
HTP',1,2,gaussian,402
IHT,1,5,gaussian,1322
HTP,1,5,gaussian,1322
HTP',1,5,gaussian,1322
IHT,1,2,linear,589
HTP,1,2,linear,589
HTP',1,2,linear,589
IHT,1,8,gaussian,2250
HTP,1,8,gaussian,2250
HTP',1,8,gaussian,2250
IHT,1,1,flat,61
HTP,1,1,flat,61
HTP',1,1,flat,61
IHT,1,1,linear,256
HTP,1,1,linear,256
HTP',1,1,linear,256
IHT,1,3,gaussian,766
HTP,1,3,gaussian,766
HTP',1,3,gaussian,766
IHT,1,1,flat,62
HTP,1,1,flat,62
HTP',1,1,flat,62
IHT,1,7,linear,2065
HTP,1,7,linear,2065
HTP',1,7,linear,2065
IHT,0,11,gaussian,3178
HTP,1,11,gaussian,3178
HTP',1,11,gaussian,3178
IHT,1,9,linear,2625
HTP,1,9,linear,2625
HTP',1,9,linear,2625
IHT,0,6,gaussian,1692
HTP,1,6,gaussian,1692
HTP',1,6,gaussian,1692
IHT,1,1,flat,63
HTP,1,1,flat,63
HTP',1,1,flat,63
IHT,1,6,flat,1509
HTP,1,6,flat,1509
HTP',1,6,flat,1509
IHT,1,10,linear,2992
HTP,1,10,linear,2992
HTP',1,10,linear,2992
IHT,1,1,flat,64
HTP,1,1,flat,64
HTP',1,1,flat,64
IHT,1,4,flat,949
HTP,1,4,flat,949
HTP',1,4,flat,949
IHT,1,7,flat,1881
HTP,1,7,flat,1881
HTP',1,7,flat,1881
IHT,1,4,linear,1136
HTP,1,4,linear,1136
HTP',1,4,linear,1136
IHT,1,8,gaussian,2251
HTP,1,8,gaussian,2251
HTP',1,8,gaussian,2251
IHT,1,9,linear,2626
HTP,1,9,linear,2626
HTP',1,9,linear,2626
IHT,1,6,gaussian,1693
HTP,1,6,gaussian,1693
HTP',1,6,gaussian,1693
IHT,1,2,linear,590
HTP,1,2,linear,590
HTP',1,2,linear,590
IHT,1,2,gaussian,403
HTP,1,2,gaussian,403
HTP',1,2,gaussian,403
IHT,1,3,gaussian,767
HTP,1,3,gaussian,767
HTP',1,3,gaussian,767
IHT,1,15,flat,4293
HTP,1,15,flat,4293
HTP',1,15,flat,4293
IHT,1,5,gaussian,1323
HTP,1,5,gaussian,1323
HTP',1,5,gaussian,1323
IHT,1,9,flat,2441
HTP,1,9,flat,2441
HTP',1,9,flat,2441
IHT,0,12,linear,3556
HTP,1,12,linear,3556
HTP',1,12,linear,3556
IHT,0,10,gaussian,2807
HTP,1,10,gaussian,2807
HTP',1,10,gaussian,2807
IHT,1,1,linear,257
HTP,1,1,linear,257
HTP',1,1,linear,257
IHT,1,8,gaussian,2252
HTP,1,8,gaussian,2252
HTP',1,8,gaussian,2252
IHT,1,2,linear,591
HTP,1,2,linear,591
HTP',1,2,linear,591
IHT,1,10,linear,2993
HTP,1,10,linear,2993
HTP',1,10,linear,2993
IHT,1,7,linear,2066
HTP,1,7,linear,2066
HTP',1,7,linear,2066
IHT,1,1,linear,258
HTP,1,1,linear,258
HTP',1,1,linear,258
IHT,1,12,flat,3368
HTP,1,12,flat,3368
HTP',1,12,flat,3368
IHT,1,1,linear,259
HTP,1,1,linear,259
HTP',1,1,linear,259
IHT,1,7,flat,1882
HTP,1,7,flat,1882
HTP',1,7,flat,1882
IHT,1,15,flat,4294
HTP,1,15,flat,4294
HTP',1,15,flat,4294
IHT,1,3,gaussian,768
HTP,1,3,gaussian,768
HTP',1,3,gaussian,768
IHT,1,1,linear,260
HTP,1,1,linear,260
HTP',1,1,linear,260
IHT,1,1,flat,65
HTP,1,1,flat,65
HTP',1,1,flat,65
IHT,1,6,flat,1510
HTP,1,6,flat,1510
HTP',1,6,flat,1510
IHT,1,4,linear,1137
HTP,1,4,linear,1137
HTP',1,4,linear,1137
IHT,1,10,linear,2994
HTP,1,10,linear,2994
HTP',1,10,linear,2994
IHT,1,11,gaussian,3179
HTP,1,11,gaussian,3179
HTP',1,11,gaussian,3179
IHT,1,4,flat,950
HTP,1,4,flat,950
HTP',1,4,flat,950
IHT,1,1,flat,66
HTP,1,1,flat,66
HTP',1,1,flat,66
IHT,1,1,linear,261
HTP,1,1,linear,261
HTP',1,1,linear,261
IHT,1,6,gaussian,1694
HTP,1,6,gaussian,1694
HTP',1,6,gaussian,1694
IHT,1,1,flat,67
HTP,1,1,flat,67
HTP',1,1,flat,67
IHT,1,2,linear,592
HTP,1,2,linear,592
HTP',1,2,linear,592
IHT,1,12,flat,3369
HTP,1,12,flat,3369
HTP',1,12,flat,3369
IHT,1,2,gaussian,404
HTP,1,2,gaussian,404
HTP',1,2,gaussian,404
IHT,1,9,linear,2627
HTP,1,9,linear,2627
HTP',1,9,linear,2627
IHT,1,1,flat,68
HTP,1,1,flat,68
HTP',1,1,flat,68
IHT,1,5,gaussian,1324
HTP,1,5,gaussian,1324
HTP',1,5,gaussian,1324
IHT,1,9,flat,2442
HTP,1,9,flat,2442
HTP',1,9,flat,2442
IHT,1,10,gaussian,2808
HTP,1,10,gaussian,2808
HTP',1,10,gaussian,2808
IHT,1,12,linear,3557
HTP,1,12,linear,3557
HTP',1,12,linear,3557
IHT,0,14,flat,3911
HTP,1,14,flat,3911
HTP',1,14,flat,3911
IHT,1,7,flat,1883
HTP,1,7,flat,1883
HTP',1,7,flat,1883
IHT,1,7,linear,2067
HTP,1,7,linear,2067
HTP',1,7,linear,2067
IHT,1,2,linear,593
HTP,1,2,linear,593
HTP',1,2,linear,593
IHT,1,1,flat,69
HTP,1,1,flat,69
HTP',1,1,flat,69
IHT,1,8,gaussian,2253
HTP,1,8,gaussian,2253
HTP',1,8,gaussian,2253
IHT,1,1,flat,70
HTP,1,1,flat,70
HTP',1,1,flat,70
IHT,1,6,flat,1511
HTP,1,6,flat,1511
HTP',1,6,flat,1511
IHT,0,11,gaussian,3180
HTP,1,11,gaussian,3180
HTP',1,11,gaussian,3180
IHT,1,3,gaussian,769
HTP,1,3,gaussian,769
HTP',1,3,gaussian,769
IHT,1,4,flat,951
HTP,1,4,flat,951
HTP',1,4,flat,951
IHT,1,10,linear,2995
HTP,1,10,linear,2995
HTP',1,10,linear,2995
IHT,1,1,linear,262
HTP,1,1,linear,262
HTP',1,1,linear,262
IHT,1,9,flat,2443
HTP,1,9,flat,2443
HTP',1,9,flat,2443
IHT,1,15,flat,4295
HTP,1,15,flat,4295
HTP',1,15,flat,4295
IHT,1,4,linear,1138
HTP,1,4,linear,1138
HTP',1,4,linear,1138
IHT,1,1,linear,263
HTP,1,1,linear,263
HTP',1,1,linear,263
IHT,1,11,gaussian,3181
HTP,1,11,gaussian,3181
HTP',1,11,gaussian,3181
IHT,1,9,flat,2444
HTP,1,9,flat,2444
HTP',1,9,flat,2444
IHT,1,12,linear,3558
HTP,1,12,linear,3558
HTP',1,12,linear,3558
IHT,1,5,gaussian,1325
HTP,1,5,gaussian,1325
HTP',1,5,gaussian,1325
IHT,1,2,gaussian,405
HTP,1,2,gaussian,405
HTP',1,2,gaussian,405
IHT,1,3,gaussian,770
HTP,1,3,gaussian,770
HTP',1,3,gaussian,770
IHT,1,1,linear,264
HTP,1,1,linear,264
HTP',1,1,linear,264
IHT,1,1,flat,71
HTP,1,1,flat,71
HTP',1,1,flat,71
IHT,1,6,gaussian,1695
HTP,1,6,gaussian,1695
HTP',1,6,gaussian,1695
IHT,1,2,linear,594
HTP,1,2,linear,594
HTP',1,2,linear,594
IHT,1,1,linear,265
HTP,1,1,linear,265
HTP',1,1,linear,265
IHT,1,6,flat,1512
HTP,1,6,flat,1512
HTP',1,6,flat,1512
IHT,1,1,flat,72
HTP,1,1,flat,72
HTP',1,1,flat,72
IHT,1,2,gaussian,406
HTP,1,2,gaussian,406
HTP',1,2,gaussian,406
IHT,1,9,linear,2628
HTP,1,9,linear,2628
HTP',1,9,linear,2628
IHT,1,7,flat,1884
HTP,1,7,flat,1884
HTP',1,7,flat,1884
IHT,1,14,flat,3912
HTP,1,14,flat,3912
HTP',1,14,flat,3912
IHT,1,12,flat,3370
HTP,1,12,flat,3370
HTP',1,12,flat,3370
IHT,1,10,gaussian,2809
HTP,1,10,gaussian,2809
HTP',1,10,gaussian,2809
IHT,1,7,linear,2068
HTP,1,7,linear,2068
HTP',1,7,linear,2068
IHT,1,4,flat,952
HTP,1,4,flat,952
HTP',1,4,flat,952
IHT,1,9,flat,2445
HTP,1,9,flat,2445
HTP',1,9,flat,2445
IHT,1,8,gaussian,2254
HTP,1,8,gaussian,2254
HTP',1,8,gaussian,2254
IHT,1,1,linear,266
HTP,1,1,linear,266
HTP',1,1,linear,266
IHT,1,7,flat,1885
HTP,1,7,flat,1885
HTP',1,7,flat,1885
IHT,1,1,flat,73
HTP,1,1,flat,73
HTP',1,1,flat,73
IHT,1,6,gaussian,1696
HTP,1,6,gaussian,1696
HTP',1,6,gaussian,1696
IHT,1,10,linear,2996
HTP,1,10,linear,2996
HTP',1,10,linear,2996
IHT,1,1,linear,267
HTP,1,1,linear,267
HTP',1,1,linear,267
IHT,1,15,flat,4296
HTP,1,15,flat,4296
HTP',1,15,flat,4296
IHT,1,2,linear,595
HTP,1,2,linear,595
HTP',1,2,linear,595
IHT,1,4,linear,1139
HTP,1,4,linear,1139
HTP',1,4,linear,1139
IHT,1,5,gaussian,1326
HTP,1,5,gaussian,1326
